Time,Infection,ALKATI1,ALKATI2,ALKATI3,Eml4Alk 1,Eml4Alk 2,Eml4Alk 3,Vector1,Vector2,Vector3
1,7-Mar,280,1060,400,960,310,800,,,
2,7-Mar,2800,10600,4000,9600,3100,8000,,,
3,7-Mar,7400,10600,10000,5800,5600,3600,,,
4,7-Mar,9200,5600,7600,6800,3000,6000,,,
7,7-Mar,4400,3600,15200,9200,24000,9200,,,
8,7-Mar,1800,1200,1200,19600,15200,20000,,,
9,7-Mar,4800,2400,2400,18800,20400,28400,,,
10,7-Mar,5200,2800,4000,40800,36600,22800,,,
12,7-Mar,13200,6000,16800,60000,62400,62400,,,
13.5,7-Mar,24800,18400,20200,120000,153600,146400,,,
15,7-Mar,78000,58000,71600,,,,,,
1,24-Nov,260,260,260,240,240,240,,,
2,24-Nov,420,460,300,360,260,400,,,
3.5,24-Nov,490,540,720,620,440,530,,,
5,24-Nov,440,480,500,620,440,640,,,
6,24-Nov,360,300,460,1100,1040,860,,,
9,24-Nov,1860,820,680,2800,2400,3000,,,
10,24-Nov,2080,1200,640,6600,6000,18600,,,
11,24-Nov,2160,1200,5840,43800,43200,52200,,,
12.5,24-Nov,12800,8160,9120,112000,144000,96000,,,
1,1-Nov,880,1000,760,580,680,460,400,520,460
2,1-Nov,620,740,580,580,580,600,310,520,380
4,1-Nov,580,540,740,1200,960,940,120,140,210
5,1-Nov,240,300,420,1160,1850,2000,100,160,220
6,1-Nov,300,150,520,6697,6888,8400,20,140,80
7,1-Nov,360,380,340,28063,20646,21000,20,160,60
8,1-Nov,320,180,520,64000,96551,100800,60,60,40
9,1-Nov,240,420,360,177800,216100,254000,,,
10,1-Nov,270,620,350,,,,,,
12,1-Nov,220,1200,740,,,,20,2400,20
13,1-Nov,40,1340,570,,,,0.05,8400,20
17,1-Nov,,,,,,,0.05,20000,0.05
1,20-Dec,100,100,100,,,,100,100,100
2,20-Dec,100,75,70,,,,,,
2.5,20-Dec,65,50,100,,,,,,
3.5,20-Dec,40,25,20,,,,40,25,15
6,20-Dec,5,1,5,,,,,,
8,20-Dec,,,,,,,10,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,